date,areaType,areaCode,areaName,newCasesBySpecimenDate,newDeathsByDeathDate
"2021-01-17",region,E12000002,North West,510,9
"2021-01-16",region,E12000002,North West,3452,45
"2021-01-15",region,E12000002,North West,4382,50
"2021-01-14",region,E12000002,North West,5071,101
"2021-01-13",region,E12000002,North West,5362,123
"2021-01-12",region,E12000002,North West,6341,89
"2021-01-11",region,E12000002,North West,7384,127
"2021-01-10",region,E12000002,North West,5102,110
"2021-01-09",region,E12000002,North West,4937,104
"2021-01-08",region,E12000002,North West,5622,104
"2021-01-07",region,E12000002,North West,6039,107
"2021-01-06",region,E12000002,North West,6577,119
"2021-01-05",region,E12000002,North West,7558,90
"2021-01-04",region,E12000002,North West,8204,91
"2021-01-03",region,E12000002,North West,6556,89
"2021-01-02",region,E12000002,North West,6896,84
"2021-01-01",region,E12000002,North West,2850,86
"2020-12-31",region,E12000002,North West,5200,95
"2020-12-30",region,E12000002,North West,6423,75
"2020-12-29",region,E12000002,North West,6626,86
"2020-12-28",region,E12000002,North West,3596,99
"2020-12-27",region,E12000002,North West,3520,76
"2020-12-26",region,E12000002,North West,2651,85
"2020-12-25",region,E12000002,North West,914,75
"2020-12-24",region,E12000002,North West,2299,101
"2020-12-23",region,E12000002,North West,2878,100
"2020-12-22",region,E12000002,North West,2814,78
"2020-12-21",region,E12000002,North West,3060,91
"2020-12-20",region,E12000002,North West,1949,72
"2020-12-19",region,E12000002,North West,1659,75
"2020-12-18",region,E12000002,North West,2101,69
"2020-12-17",region,E12000002,North West,1952,62
"2020-12-16",region,E12000002,North West,2034,63
"2020-12-15",region,E12000002,North West,2120,58
"2020-12-14",region,E12000002,North West,2236,87
"2020-12-13",region,E12000002,North West,1322,68
"2020-12-12",region,E12000002,North West,1258,84
"2020-12-11",region,E12000002,North West,1643,65
"2020-12-10",region,E12000002,North West,1650,71
"2020-12-09",region,E12000002,North West,1597,80
"2020-12-08",region,E12000002,North West,1573,82
"2020-12-07",region,E12000002,North West,1840,80
"2020-12-06",region,E12000002,North West,1136,71
"2020-12-05",region,E12000002,North West,999,68
"2020-12-04",region,E12000002,North West,1451,78
"2020-12-03",region,E12000002,North West,1353,85
"2020-12-02",region,E12000002,North West,1450,74
"2020-12-01",region,E12000002,North West,1710,83
"2020-11-30",region,E12000002,North West,1887,83
"2020-11-29",region,E12000002,North West,1054,79
"2020-11-28",region,E12000002,North West,1143,70
"2020-11-27",region,E12000002,North West,1430,79
"2020-11-26",region,E12000002,North West,1594,75
"2020-11-25",region,E12000002,North West,1832,106
"2020-11-24",region,E12000002,North West,1860,89
"2020-11-23",region,E12000002,North West,2183,90
"2020-11-22",region,E12000002,North West,1384,84
"2020-11-21",region,E12000002,North West,1379,104
"2020-11-20",region,E12000002,North West,1986,94
"2020-11-19",region,E12000002,North West,2179,87
"2020-11-18",region,E12000002,North West,2580,125
"2020-11-17",region,E12000002,North West,3046,99
"2020-11-16",region,E12000002,North West,3370,93
"2020-11-15",region,E12000002,North West,2118,107
"2020-11-14",region,E12000002,North West,2379,100
"2020-11-13",region,E12000002,North West,3230,120
"2020-11-12",region,E12000002,North West,3426,103
"2020-11-11",region,E12000002,North West,3916,99
"2020-11-10",region,E12000002,North West,3901,93
"2020-11-09",region,E12000002,North West,4723,108
"2020-11-08",region,E12000002,North West,3177,102
"2020-11-07",region,E12000002,North West,2810,103
"2020-11-06",region,E12000002,North West,3855,109
"2020-11-05",region,E12000002,North West,3915,106
"2020-11-04",region,E12000002,North West,4088,94
"2020-11-03",region,E12000002,North West,4439,109
"2020-11-02",region,E12000002,North West,5929,92
