date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2021-02-12",utla,E06000032,Luton,19
"2021-02-11",utla,E06000032,Luton,61
"2021-02-10",utla,E06000032,Luton,90
"2021-02-09",utla,E06000032,Luton,81
"2021-02-08",utla,E06000032,Luton,74
"2021-02-07",utla,E06000032,Luton,86
"2021-02-06",utla,E06000032,Luton,72
"2021-02-05",utla,E06000032,Luton,107
"2021-02-04",utla,E06000032,Luton,94
"2021-02-03",utla,E06000032,Luton,93
"2021-02-02",utla,E06000032,Luton,118
"2021-02-01",utla,E06000032,Luton,107
"2021-01-31",utla,E06000032,Luton,83
"2021-01-30",utla,E06000032,Luton,77
"2021-01-29",utla,E06000032,Luton,106
"2021-01-28",utla,E06000032,Luton,172
"2021-01-27",utla,E06000032,Luton,151
"2021-01-26",utla,E06000032,Luton,177
"2021-01-25",utla,E06000032,Luton,168
"2021-01-24",utla,E06000032,Luton,110
"2021-01-23",utla,E06000032,Luton,125
"2021-01-21",utla,E06000032,Luton,184
"2021-01-20",utla,E06000032,Luton,222
"2021-01-19",utla,E06000032,Luton,207
"2021-01-18",utla,E06000032,Luton,234
"2021-01-17",utla,E06000032,Luton,158
"2021-01-16",utla,E06000032,Luton,176
"2021-01-15",utla,E06000032,Luton,226
"2021-01-14",utla,E06000032,Luton,214
"2021-01-13",utla,E06000032,Luton,239
"2021-01-12",utla,E06000032,Luton,226
"2021-01-11",utla,E06000032,Luton,282
"2021-01-10",utla,E06000032,Luton,165
"2021-01-09",utla,E06000032,Luton,215
"2021-01-08",utla,E06000032,Luton,208
"2021-01-07",utla,E06000032,Luton,280
"2021-01-06",utla,E06000032,Luton,296
"2021-01-05",utla,E06000032,Luton,310
"2021-01-04",utla,E06000032,Luton,423
"2021-01-03",utla,E06000032,Luton,299
"2021-01-02",utla,E06000032,Luton,276
"2021-01-01",utla,E06000032,Luton,106
"2020-12-31",utla,E06000032,Luton,255
"2020-12-30",utla,E06000032,Luton,285
"2020-12-29",utla,E06000032,Luton,410
"2020-12-28",utla,E06000032,Luton,178
"2020-12-27",utla,E06000032,Luton,216
"2020-12-26",utla,E06000032,Luton,187
"2020-12-25",utla,E06000032,Luton,47
"2020-12-24",utla,E06000032,Luton,151
"2020-12-23",utla,E06000032,Luton,140
"2020-12-22",utla,E06000032,Luton,231
"2020-12-21",utla,E06000032,Luton,225
"2020-12-20",utla,E06000032,Luton,142
"2020-12-19",utla,E06000032,Luton,124
"2020-12-18",utla,E06000032,Luton,180
"2020-12-17",utla,E06000032,Luton,163
"2020-12-16",utla,E06000032,Luton,169
"2020-12-15",utla,E06000032,Luton,179
"2020-12-14",utla,E06000032,Luton,170
"2020-12-13",utla,E06000032,Luton,105
"2020-12-12",utla,E06000032,Luton,100
"2020-12-11",utla,E06000032,Luton,115
"2020-12-10",utla,E06000032,Luton,100
"2020-12-09",utla,E06000032,Luton,89
"2020-12-08",utla,E06000032,Luton,94
"2020-12-07",utla,E06000032,Luton,119
"2020-12-06",utla,E06000032,Luton,75
"2020-12-05",utla,E06000032,Luton,86
"2020-12-04",utla,E06000032,Luton,81
"2020-12-03",utla,E06000032,Luton,91
"2020-12-02",utla,E06000032,Luton,76
"2020-12-01",utla,E06000032,Luton,106
